LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/7/2015;""29"";""21"";""33"";""16"";""46"";""10"";""12"";""20"";""37"";""1019"";""0"";""0"";"""""
"Trento;2/7/2015;""30"";""19"";""34"";""16"";""46"";""10"";""11"";""19"";""39"";""1021"";""0"";""0"";"""""
"Trento;3/7/2015;""25"";""21"";""33"";""17"";""62"";""10"";""9"";""26"";""52"";""1025"";""0"";""0"";""pioggia temporale """
"Trento;4/7/2015;""29"";""17"";""36"";""16"";""50"";""10"";""7"";""13"";""0"";""1022"";""0"";""0"";"""""
"Trento;5/7/2015;""30"";""20"";""36"";""17"";""47"";""10"";""11"";""17"";""39"";""1018"";""0"";""0"";"""""
"Trento;6/7/2015;""31"";""22"";""37"";""17"";""47"";""10"";""9"";""17"";""39"";""1017"";""0"";""0"";"""""
"Trento;7/7/2015;""32"";""27"";""38"";""21"";""52"";""9"";""11"";""17"";""0"";""1014"";""0"";""0"";""temporale """
"Trento;8/7/2015;""24"";""21"";""29"";""19"";""71"";""10"";""8"";""19"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Trento;9/7/2015;""27"";""18"";""32"";""8"";""33"";""10"";""8"";""22"";""44"";""1013"";""0"";""0"";"""""
"Trento;10/7/2015;""27"";""16"";""32"";""8"";""33"";""0"";""10"";""17"";""0"";""1017"";""0"";""0"";"""""
"Trento;11/7/2015;""27"";""16"";""33"";""14"";""45"";""10"";""10"";""17"";""39"";""1016"";""0"";""0"";"""""
"Trento;12/7/2015;""29"";""18"";""35"";""14"";""41"";""10"";""9"";""19"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Trento;13/7/2015;""30"";""22"";""35"";""15"";""43"";""10"";""7"";""13"";""0"";""1013"";""0"";""0"";"""""
"Trento;14/7/2015;""30"";""21"";""35"";""14"";""39"";""10"";""12"";""22"";""0"";""1014"";""0"";""0"";"""""
"Trento;15/7/2015;""31"";""20"";""36"";""17"";""45"";""10"";""11"";""19"";""39"";""1015"";""0"";""0"";"""""
"Trento;16/7/2015;""31"";""24"";""35"";""19"";""48"";""10"";""9"";""19"";""0"";""1016"";""0"";""0"";"""""
"Trento;17/7/2015;""28"";""21"";""36"";""17"";""52"";""10"";""9"";""33"";""74"";""1018"";""0"";""0"";""pioggia temporale """
"Trento;18/7/2015;""30"";""19"";""37"";""14"";""42"";""10"";""7"";""13"";""32"";""1017"";""0"";""0"";"""""
Trento;19/7/2015;;;;;;;;;;;;;
"Trento;20/7/2015;""31"";""23"";""36"";""17"";""44"";""10"";""7"";""15"";""0"";""1012"";""0"";""0"";"""""
"Trento;21/7/2015;""32"";""24"";""38"";""18"";""44"";""10"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
"Trento;22/7/2015;""30"";""22"";""33"";""18"";""48"";""10"";""6"";""11"";""0"";""1013"";""0"";""0"";""temporale """
"Trento;23/7/2015;""30"";""21"";""36"";""15"";""42"";""10"";""6"";""11"";""0"";""1011"";""0"";""0"";"""""
"Trento;24/7/2015;""28"";""23"";""34"";""16"";""51"";""10"";""8"";""24"";""56"";""1011"";""0"";""0"";""temporale """
"Trento;25/7/2015;""27"";""20"";""32"";""16"";""54"";""10"";""14"";""28"";""57"";""1007"";""0"";""0"";""pioggia temporale """
"Trento;26/7/2015;""25"";""16"";""30"";""11"";""47"";""10"";""7"";""13"";""0"";""1011"";""0"";""0"";"""""
"Trento;27/7/2015;""28"";""21"";""31"";""16"";""51"";""10"";""12"";""15"";""0"";""1004"";""0"";""0"";""pioggia """
"Trento;28/7/2015;""27"";""20"";""31"";""15"";""48"";""10"";""11"";""20"";""32"";""1006"";""0"";""0"";"""""
"Trento;29/7/2015;""24"";""21"";""30"";""17"";""66"";""10"";""7"";""20"";""33"";""1007"";""0"";""0"";""pioggia temporale """
"Trento;30/7/2015;""26"";""17"";""30"";""14"";""50"";""10"";""8"";""20"";""35"";""1009"";""0"";""0"";"""""
"Trento;31/7/2015;""24"";""14"";""30"";""12"";""51"";""10"";""8"";""15"";""0"";""1014"";""0"";""0"";"""""
